所属区,初中学校代码,初中学校名称,招生高中名称,招生高中代码,分配名额数
宝山区,131042,上海师范大学附属宝山经纬实验中学,上海市行知中学,0,8
宝山区,131042,上海师范大学附属宝山经纬实验中学,上海市吴淞中学,0,6
宝山区,131042,上海师范大学附属宝山经纬实验中学,上海大学附属中学,0,7
宝山区,131042,上海师范大学附属宝山经纬实验中学,华东师范大学第二附属中学(宝山校区),0,3
宝山区,131042,上海师范大学附属宝山经纬实验中学,上海师范大学附属中学宝山分校,0,2
宝山区,131042,上海师范大学附属宝山经纬实验中学,复旦大学附属中学,0,1
宝山区,133002,上海师范大学附属宝山罗店中学,上海市行知中学,0,2
宝山区,133002,上海师范大学附属宝山罗店中学,上海市吴淞中学,0,2
宝山区,133002,上海师范大学附属宝山罗店中学,上海大学附属中学,0,2
宝山区,133002,上海师范大学附属宝山罗店中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,133002,上海师范大学附属宝山罗店中学,上海师范大学附属中学宝山分校,0,1
宝山区,134001,上海市宝山中学,上海市行知中学,0,1
宝山区,134001,上海市宝山中学,上海市吴淞中学,0,2
宝山区,134001,上海市宝山中学,上海大学附属中学,0,1
宝山区,134001,上海市宝山中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,134001,上海市宝山中学,上海师范大学附属中学宝山分校,0,1
宝山区,134004,上海市顾村中学,上海市行知中学,0,7
宝山区,134004,上海市顾村中学,上海市吴淞中学,0,6
宝山区,134004,上海市顾村中学,上海大学附属中学,0,6
宝山区,134004,上海市顾村中学,华东师范大学第二附属中学(宝山校区),0,2
宝山区,134004,上海市顾村中学,上海师范大学附属中学宝山分校,0,1
宝山区,134005,上海市行知实验中学,上海市行知中学,0,3
宝山区,134005,上海市行知实验中学,上海市吴淞中学,0,2
宝山区,134005,上海市行知实验中学,上海大学附属中学,0,2
宝山区,134005,上海市行知实验中学,华东师范大学第二附属中学(宝山校区),0,1
宝山区,134005,上海市行知实验中学,上海师范大学附属中学宝山分校,0,1
宝山区,134005,上海市行知实验中学,复旦大学附属中学,0,1
宝山区,134006,上海市高境第一中学,上海市行知中学,0,1
宝山区,134006,上海市高境第一中学,上海市吴淞中学,0,1
