序号,学校全称,招生代码,所属区,办别,学校类型,备注
284,上海市崇明区民本中学,513001,崇明区,公办,区实验性示范性高中,
285,上海市扬子中学,513009,崇明区,公办,区实验性示范性高中,
286,上海市崇明区堡镇中学,514004,崇明区,公办,区实验性示范性高中,
287,上海民办民一中学,514010,崇明区,民办,一般高中,
288,上海市崇明区横沙中学,514013,崇明区,公办,一般高中,
289,上海市上海中学,042032,上海市,公办,市实验性示范性高中,
290,上海外国语大学附属外国语学校,092003,上海市,公办,市实验性示范性高中,
291,上海交通大学附属中学,102056,上海市,公办,市实验性示范性高中,含国际课程班
292,复旦大学附属中学,102057,上海市,公办,市实验性示范性高中,含国际课程班
293,华东师范大学第二附属中学,152003,上海市,公办,市实验性示范性高中,含国际课程班
294,上海师范大学附属中学,152006,上海市,公办,市实验性示范性高中,
295,上海市实验学校,155001,上海市,公办,市实验性示范性高中,
296,上海科技大学附属学校,155054,上海市,公办,一般高中,
