district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
金山区,183002,6,2025,690.5,120.0,121.0,131.0,,,,
金山区,182002,2,2025,749.0,142.0,131.0,139.0,,,,
金山区,202001,15,2025,737.5,144.0,121.0,135.0,,,,
金山区,202002,2,2025,728.0,140.0,124.0,133.0,,,,
金山区,512000,2,2025,696.5,126.0,119.0,130.0,,,,
静安区,042032,9,2025,742.0,143.0,131.0,140.0,,,,
静安区,102056,28,2025,750.0,143.0,131.0,135.0,,,,
静安区,102057,24,2025,758.5,148.0,132.0,137.0,,,,
静安区,152003,17,2025,744.0,141.0,127.0,144.0,,,,
静安区,012001,24,2025,744.0,139.0,131.0,137.0,,,,
静安区,012003,7,2025,740.0,144.0,123.0,140.0,,,,
静安区,012005,6,2025,730.0,131.0,130.0,136.0,,,,
静安区,012008,2,2025,710.5,116.0,130.0,127.0,,,,
静安区,012009,2,2025,708.0,122.0,125.0,130.0,,,,
静安区,042001,4,2025,724.0,143.0,125.0,119.0,,,,
静安区,042008,10,2025,743.5,130.0,126.0,134.0,,,,
静安区,042035,3,2025,739.0,139.0,128.0,137.0,,,,
静安区,043015,2,2025,705.0,131.0,126.0,132.0,,,,
静安区,042036,2,2025,758.0,146.0,128.0,142.0,,,,
静安区,052001,5,2025,715.0,127.0,130.0,131.0,,,,
静安区,052002,8,2025,740.5,137.0,127.0,140.0,,,,
静安区,053004,5,2025,713.0,125.0,121.0,129.0,,,,
静安区,062001,7,2025,745.0,137.0,131.0,131.0,,,,
静安区,062002,7,2025,718.5,131.0,129.0,130.0,,,,
静安区,062003,7,2025,716.0,127.0,125.0,132.0,,,,
静安区,062004,7,2025,722.0,142.0,121.0,140.0,,,,
静安区,062011,3,2025,668.5,113.0,122.0,118.0,,,,
静安区,063004,5,2025,689.5,126.0,123.0,118.0,,,,
静安区,064001,4,2025,674.0,118.0,120.0,120.0,,,,
静安区,072001,5,2025,733.5,140.0,130.0,139.0,,,,
